,_key,Desc,category,district,latitude,longitude,loc_clusters
17,gorakh hill,"Gorakh is a Hill Station of Sindh, Pakistan. It is situated at an elevation of 5,688 ft (1,734 m) in the Kirthar Mountains. Gorakh Hill Station is situated on one of the highest plateaus of Sindh, spread over 2,500 acres (10 km2) of land. It is very attractive to nature-lovers owing to its temperate weather and beautiful surroundings. Gorakh's elevation gives it a special climate, with sub-zero temperatures during winter and generally below 20 Â°C in summer, with about 120 mm of average annual rainfall. (Photo Credit: Adil Nisar | Pikore )",Hill Station,Sindh,26.8611674,67.1511368,1
18,gulpur mahuli waterfalls,Gulpur Mahuli waterfall is a 110 km and a 3.5 hours drive from Islamabad. You can take two roads to get here; the first road to Gulpur Mahuli waterfall is from Islamabad â Kahuta âSehnsa âGulpur (Kotli Azad Kashmir); the second is through Rawat â Kallar Syedan â Dadyal â,Waterfall,Azad Kashmir,33.46410685,73.86825122,0
19,hingol national park,"Hingol national park stretches out to approximately 1,650 km and is one of the largest national parks of Pakistan.It lies on the Makran coast in Balochistan and is situated about 190 km from Karachi.
The national park entails topographical features varying from barren forests in the north to cooler regions in the west that have regular rainfall and are home to different plants and animals. Also Mud volcanoes can be found in the area. (Photo Credit: pakistantoursguide.pk )",National Park,Balochistan,25.5064168,65.530701,1
20,hunza valley,"The Hunza Valley is a mountainous valley in the GilgitâBaltistan region; it was formerly a princely state. The Hunza valley is situated north/west of the Hunza River, at an elevation of around 2,500 metres. The Valley has three Regions â Upper Hunza (Gojal); Center Hunza and Lower Hunza.
( Photo Credit: Blogs â Tribune.com.pk | By Parhlo )",Valley,GilgitâBaltistan,36.3167,74.65,2
21,indus kohistan,"Rounding the western end of the Himalaya at Nanga Parbat (8125m), the Indus River cuts a gorge so deep that some parts see only a few hours of sunlight a day. The Highway traveller is surrounded by this fractured, crumbling landscape with barely a blade of grass visible â magnificent and ominous .Itâs a landscape in motion; the sheer rock walls are being ripped apart by powerful waterfalls carving out yawning canyons, and rocks lie scattered across the road.
(Photo Credit: AMG Prospective)",Mountainous,Khyber Pakhtunkhwa,35.5074167,73.2877772,0
22,jahaz banda kumrat valley,"Jahaz Banda Waterfall is the mightiest of the several waterfalls in Kumrat Valley in Sherigan, near Dir. Jahaz Banda waterfall is 380 Kms and 10 hours drive from Islamabad, so leave early.",Waterfall,Khyber Pakhtunkhwa,35.5638686,72.1941226,0
23,kalam valley,"Kalam is a cool heaven for tourists, which is located at distance of 99 km from mingora in the northern upper reaches of Swat valley along the bank of Suvastu River in Khyber Pakhtunkhwa province of Pakistan. It is a spacious sub-valley of Swat, at an elevation of about 2,000 meters (6,600 feet) above sea level.  From Matiltan some snow-capped mountains are visible including Mount Falaksar 5,918 meters (19,416 feet), and another unnamed peak 6,096 meters (20,000 feet) high.
  (Photo Credit: AMG Perspective )",Valley,Khyber Pakhtunkhwa,35.4902,72.5796,0
24,kalash,"The Kalasha Valleys are valleys in Chitral District in northern Pakistan. The valleys are surrounded by the Hindu Kush mountain range. The inhabitants of the valley are the Kalash people, who have a unique culture, language and follow a form of ancient Hinduism. The Kalasha Valleys are a source of attraction for Pakistani as well as International tourists.
 (Photo Credit: Imran Schah | Flickr )",Valley,Khyber Pakhtunkhwa,35.6838,71.6554,0
25,kanhatti gardens,have two or three clear water ponds with 15-foot height waterfalls. Kanhatti Gardens,Waterfall,Punjab,32.6774124,72.2474823,3
26,karambar lake,"Karambar Lake (also known as Qurumbar Lake) is a high altitude lake located in Ishkomen, a Tehsil of District Ghizer in GilgitâBaltistan. It is the 31st highest lake in the world and 2nd highest in Pakistan at a height of 14,121 feet (4,304 m) and one of the highest biologically active lakes on earth.
 (Photo Credit : explorebeautyofpakistan.com )",Lake,Khyber Pakhtunkhwa,36.8784107,73.70117513,2
27,katasraj temple,"Katasraj Mandir (Punjabi, Urdu: Ú©Ù¹Ø§Ø³ Ø±Ø§Ø¬ ÙÙØ¯Ø±â) is a Hindu temple complex situated in Katas village near Choa Saidanshah in the Chakwal district of Punjab in Pakistan. Dedicated to Shiva, the temple has, according to Hindu legend, existed since the days of MahÄbhÄrata and the Pandava brothers spent a substantial part of their exile at the site and later Krishna himself laid the foundation of the temple. The Pakistan Government is considering nominating the temple complex for World Heritage Site status. (Photo Credit: trekkso.com )",Temple,Punjab,32.7239451,72.9516404,3
28,khewra salt mine,"The Khewra Salt Mine is located in Khewra, north of Pind Dadan Khan of Jhelum District, Punjab Region, Pakistan, which rises from the Indo-Gangetic Plain. It is Pakistan's largest and oldest salt mine and the world's second largest source of salt. It is a major tourist attraction, drawing up to 250,000 visitors a year. Its history dates back to its discovery by Alexander's troops in 320 B.Th. main tunnel at ground level was developed by Dr. H. Warth, a mining engineer, in 1872 during British rule.
(Photo Credit: snackablenews.com )",Mine,Punjab,32.6465569,73.0062054,3
29,kiwai kaghan,Kiwai is a small waterfall and picnic spot on the way to Naran. It is so popular in traveling families; therefore I have included it in my list. Kiwai waterfall and picnic spot is 190 km and 5.5 hours from Islamabad.,Waterfall,Khyber Pakhtunkhwa,34.77916173,73.52379989,0
30,lahore fort,"The Lahore Fort is a citadel in the city of Lahore, Punjab, Pakistan. The fortress is located at the northern end of walled city Lahore, and spreads over an area greater than 20 hectares. It contains 21 notable monuments, some of which date to the era of Emperor Akbar.",Fort,Punjab,31.58803305,74.31495649,3
31,lake saif-ul-malook,"This beauty is located at the northern end of Kaghan Valley. It is in the north-east of Mansehra Division of the Khyber-Pakhtunkhwa province. Not only the mountains surrounding it make the place beautiful, but its reflection in the lake is definitely breathtaking.
 (Photo Credit: Chsahi | Twitter )",Lake,Khyber Pakhtunkhwa,34.8818168,73.6957232,0
32,lasbela beach,"Lasbela is a coastal district of Balochistan, catering the Hashmi beach with shallow sand and clear waters.
 ( Photo Credit: deserted beaches | Pinterest )",Coastal,Balochistan,25.1186,66.7267,1
33,mahodand waterfall,One hour short of Mahodand lake is a beautiful waterfall that drops down in a huge shower that covers the vicinity of the waterfall in droplets. is one of the Highest and Mighty waterfalls in Swat as well as Pakistan. The height of the Waterfall is more than 300ft.,Waterfall,Khyber Pakhtunkhwa,35.7139,72.651,0
34,malam jabba,"Malam Jabba is home to the only ski resort in Pakistan. The area also contains two Buddhist stupas and six monasteries that are scattered around the resort. The presence of the monuments at such a height indicates that the area has been inhabited for over 2000 years. Two trekking trails are located near the Malam Jabba resort. 
 (Photo Credit: M.Sajid Ishaq )",Hill Station,Khyber Pakhtunkhwa,34.7999,72.5722,0
35,manthoka waterfall,Manthoka is 600 Kms and 15.5 hours from Islamabad. You'd have to stop at Skardu for the night.,Waterfall,Gilgit-Baltistan,35.066229,75.9947968,2
36,masjid wazir khan,"The Wazir Khan Mosque is a 17th-century mosque located in the city of Lahore, capital of the Pakistani province of Punjab. The mosque was commissioned during the reign of the Mughal Emperor Shah Jahan as a part of an ensemble of buildings that also included the nearby Shahi Hammam baths",Mosque,Punjab,31.5833,74.3236,3
37,matiltan,"Matiltan is a picturesque spot comes after Usho and located at a distance of about 11 km away from Kalam. It is famous for huge glaciers, thick forests and lofty mountain peaks. It is accessible through a non metalled road from Kalam by a four-wheel drive vehicle.  (Photo Credit: AMG Perspective )",Valley,Khyber Pakhtunkhwa,35.5418,72.6595,0
38,minar-e-pakistan,"Minar-e-Pakistan is a national monument located in Lahore, Pakistan. The tower was built between 1960 and 1968 on the site where the All-India Muslim League passed the Lahore Resolution on 23 March 1940 - the first official call for a separate and independent homeland for the Muslims of British India, as espoused by the two-nation theory.",Monument,Punjab,31.5925,74.3095,3
39,mohatta palace,"The Mohatta Palace is a museum located in Karachi, Sindh, Pakistan. Designed by Agha Ahmed Hussain, the palace was built in 1927 in the posh seaside locale of Clifton as the summer home of Shivratan Mohatta, a Hindu Marwari businessman from what is now the modern-day Indian state of Rajasthan.",Museum,Sindh,24.8142,67.033,1
40,mohenjo-daro,"Mohenjo-daro. Meaning Mound of the Dead Men is an archeological site in the province of Sindh, Pakistan. Built around 2500 BCE, it was one of the largest settlements of the ancient Indus Valley Civilization, and one of the world's earliest major urban settlements, contemporaneous with the civilizations of ancient Egypt, Mesopotamia, Minoa (Crete), and Norte Chico. Mohenjo-daro was abandoned in the 19th century BCE as the Indus Valley Civilization declined, and the site was not rediscovered until the 1920s. Significant excavation has since been conducted at the site of the city, which was designated a UNESCO World Heritage Site in 1980.
(Photo Credit: SM Rafiq Photography | gettyimages )",Valley,Sindh,27.3243,68.1357,1
41,moola chotok,"Chotak waterfall and Oasis in Moola, Khuzdar is a wonderland of crystal clear water, palm trees, and narrow waterways. It is 1250 km and 15 hours drive from Islamabad.",Waterfall,Balochistan,27.7572,66.6405599,1
42,naltar lake,"Naltar Lake is named as Seven Colours Lake (satrangi jheel). Naltar is a valley near Gilgit , Hunza and Nomal, Gilgit Baltistan in the GilgitâBaltistan province of Pakistan. Naltar is 40 km (25 mi) from Gilgit and can be reached by jeeps. It's a forested (pine) village known for its wildlife and magnificent mountain scenery. 
  ( Photo Credit: S.M.Bukhari's Photography )",Lake,Gilgit-Baltistan,36.2397,74.0821,2
43,narh waterfall,Narh Waterfall is in the Kahuta region of Pakistan and you have to follow the Kahuta Panjaar road to get there. Turn left from the signboard that says and climb into the mountains.,Waterfall,Punjab,33.683958,73.5289869,0
44,neela sandh waterfall kotli sattian,Neela Sandh Waterfall and the mini pond is located near Mouri Syedan on the Lehtrar Kotli Syedan Road. It takes 1.5 hours to drive 50 km to Neela Sandh from Islamabad.,Waterfall,Punjab,33.66149,73.384519,0
45,neelam valley,"Neelam Valley is a 144 km long bow-shaped valley in Azad Kashmir Region. The Valley is situated at the North-East of Muzaffarabad. Running through the Lesser Himalaya, the Neelam River valley has excellent scenic beauty, panoramic views; towering hills on both sides of the noisy Neelum River, lush green forests, enchanting streams and attractive surroundings make the valley a dream come true.
  (Photo Credit: Imran Akram's Photography)",Valley,Azad Kashmir,34.5985,73.9073,0
46,noori de than waterfall jabri,Noori waterfall of Jabri village Haripur is short for Noorean de Than. Jabri village is closer to  than Haripur. Islamabad Pir Sohawa,Waterfall,Khyber Pakhtunkhwa,33.893504,73.117348,0
47,pakistan air force museum,"Pakistan Air Force Museum Faisal is an Air Force museum and park situated near Karsaz Flyover on Shahrah-e-Faisal in Karachi, Sindh, Pakistan. A majority of the aircraft, weapons and radar are displayed outside in the park but the main museum features all major fighter aircraft that have been used by the Pakistan Air Force.",Museum,Sindh,24.8709,67.0961,1
48,pakistan monument,"The Pakistan Monument was inaugurated in Islamabad on 23 March 2007 as a national monument embodying the country's history, and is in effect rich with significant cultural references. For its design, architect Arif Masood drew inspiration from the figure of a blossoming flower to represent the four provinces and three territories into which Pakistan is subdivided.",Monument,Islamabad,33.6931,73.0689,0
49,panjpeer rocks,"Panjpeer is the highest point of the Danoi Ridge in Kotli Sattian/Kahuta. It is called Panjpeer because of a shrine it has at the top. Locals believe this was a place where five saints came and got settled. It is at an altitude of approximately 1800 meters. The area is occupied with mountains, rocks, trees, valleys and fountains making it a perfect tourist spot.
(Photo Credit : mirrorpakistan.com )",Mountainous,Islamabad,33.7332,73.5325,0
50,pattan,"Pattan Kalan is a mountainous area located in the Abbottabad District, and is the largest village in the Galyat/Circle Bakot region. Much of the hilly countryside is covered in trees, including evergreens like pine, walnut, oak, and maple. The highest peak of the Abbottabad District the popular tourist destination Thandiani, is located near Pattan Kalan. 
(Photo Credit: AMG Prospective )",Mountainous,Khyber Pakhtunkhwa,35.11235,73.005843,0
51,pir sohawa,"Pir Sohawa is a rapidly developing tourist resort located 17 kilometers (11 mi) from Islamabad on top of Margalla Hills at an elevation of 3000+ feet. Islamabad is one of the most beautiful capitals of the world, famous for its beauty, decor, fascination, attractiveness. There is a restaurant in the vicinity named Monal. Monal is one of the very few posh restaurants in the world thatâs located on such a high altitude.
(Photo Credit: Hafiz Arsalan Zia | Flickr )",Resort,Islamabad,33.787,73.1084,0
52,rama lake,"Rama Lake is a lake near Astore in Gilgit-Baltistan, Pakistan. It is on the top of the beautiful Astore Valley. This valley is dense forested with large cedar, pine, juniper and fir trees, above the sea level Rama Lake is about 3300 meters and is covered by snow for almost 7-8 months of the year. While during summer this valley become lush green
 (Photo Credit: S.M. Bukhariâs Photography)",Lake,Gilgit-Baltistan,35.3303,74.7856,2
53,ratti galli waterfall,"Sharda Neelum Valley Azad Kashmir is 8 hours or 250 Kilometers from Islamabad. From Sharda, you need 6 hours more to reach Ratti Gali waterfalls that are close to Ratti Gali Lake.",Waterfall,Azad Kashmir,34.8296,74.0625,0
54,rawalakot,"Rawalakot is one of the most beautiful valleys of KASHMIR which is located 80 km away from Rawalpindi and Islamabad. By Road It takes two and a half hour to Rawalakot which is also famous by the name of ""PEARL VALLEY"" its specialty is natural beauty.
 (Photo Credit: miriadna.com )",Valley,Azad Kashmir,33.8584,73.7654,0
55,rohtas fort,"Rohtas Fort is a 16th-century fortress located near the city of Jhelum in the Pakistani province of Punjab. The fort is one of the largest and most formidable in the subcontinent. Rohtas Fort was never stormed by force, and has survived remarkably intact.",Fort,Punjab,32.9645,73.5745,3
56,rush lake,"Rush Lake is a high altitude lake located in Gilgit-Baltistan near Rush Pari Peak, at the height of 5098 meters. It is one of the highest alpine lakes in the world.
 (Photo Credit : wonderslist.com )",Lake,Gilgit-Baltistan,36.1745,74.8825,2
57,sajjikot waterfall havelian,"Sajjikot Waterfalls in Havelian, Pakistan is 145 Kms and 3 hours from Islamabad You have to use the Islamabad Peshawar motorway to get to Hazara Interchange and turn North towards Abbottabad.",Waterfall,Khyber Pakhtunkhwa,34.001104,73.278766,0
58,satpara lake,"Satpara Lake is basically a natural lake that falls in the vicinity of Skardu in the Gilgit-Baltistan province of Pakistan. This lake is basically one of the primary sources of water that goes to the Skardu Valley. This lake is based 2,626 metres above the sea level which is equivalent to 8,650 feet. This lake spreads over an area spanning 2.5 km-square.
 (Photo Credit: Heaven On Earth | Pinterest )",Lake,Gilgit-Baltistan,35.2294,75.6295,2
59,shalamar bagh,"The Shalimar Gardens, romanized: Shalimar Bagh are a Mughal garden complex located in Lahore, capital of the Pakistani province of Punjab. The gardens date from the period when the Mughal Empire was at its artistic and aesthetic zenith, and are now one of Pakistan's most popular tourist destinations.",National Park,Punjab,31.5843,74.3828,3
60,shangrila resort,"Skardu the central valley of Gilgit-Baltistan, is an epitome of beauty, serenity and wilderness. During the journey, one is greeted with several streams, springs, and the hospitality of the local people.After crossing the old wooden bridge built over the River Indus, one reaches Shangrila, a paradise on earth for tourists. It is a famous tourist spot in Skardu, Restaurant in Shangrila rest house is highlight of this place, which is built in the structure of an aircraft.
 (Photo Credit: S.M.Bukhari's Photography)",Resort,Gilgit-Baltistan,35.4275,75.4567,2
61,shumber waterfalls,"Shumber waterfall is 22 Kms and 45 minutes drive from Islamabad. First, you drive towards Murree Highway and turn left from Shah Dara Road before Bara Kahu and drive towards the Shahdara picnic spot. is half an hour hike from the Shahdara picnic spot.",Waterfall,Islamabad,33.7773,73.17057,0
62,skardu,"Far in Northern Pakistan, lies the Majestic Skardu Valley surrounded by mighty Karakorum, Himalaya, and Hindu Kush mountain ranges. Skardu, famous for climbing, mountaineering all around the world.",Valley,Gilgit-Baltistan,35.3247,75.551,2
63,sonmiani beach,"Sonmiani Beach is a beach located in the Lasbela District of the Balochistan state of Pakistan. It is located in Sonmiani Bay. The beach is a two-hour drive from Karachi and is very popular among tourists. The beach is home to Portuguese Man of Wars, and various species of fish. 
 ( Photo Credit: asif saeed | Flickr )",Coastal,Balochistan,24.89951,66.96973,1
64,taxila museum,"Taxila Museum is located at Taxila, Punjab, Pakistan. The museum is home to a significant and comprehensive collection of Gandharan art dating from the 1st to the 7th centuries CE. Most objects in the collection were excavated from the ruins of ancient Taxila.",Museum,Punjab,33.7459,72.8187,0
65,thal desert,"The Thal desert is situated in Punjab, Pakistan. The vast expanse is located between the Jhelum and Sindh rivers near the Pothohar Plateau, with a total length from north to south 190 miles, and a maximum breadth of 70 miles (110 km) and minimum breadth 20 miles. The desert covers the districts of Bhakkar, Khushab, Mianwali, Layyah, Muzaffargarh as well as Jhang, from the left bank of the river Jhelum. Geographically, it resembles the deserts of Cholistan and Thar.(Photo Credit: pakistan360degrees.com )",Desert,Punjab,31.2281,71.8099,3
66,the lahore museum,"The Lahore Museum, is a museum located in Lahore, Pakistan. Founded in 1865 at a smaller location and opened in 1894 at its current location on 'The Mall' in Lahore during the British colonial period, Lahore Museum is one of Pakistan's most visited museums and one of the major museums in South Asia",Museum,Punjab,31.5684,74.3081,3
67,umbrella waterfall poona,Umbrella Waterfall is 150 km from Islamabad and it takes 3 hours to get there. Umbrella waterfall is 481 km and 6 hours from Lahore.,Waterfall,Khyber Pakhtunkhwa,33.97709,73.48238,0
68,west bay beach,"The West Bay Beach lies on the Makran coast, and is renowned for its diverse marine life and exquisite scenery. This is the semicircular bay covering one side of Gawdar beech.
 ( Photo Credit: Buzzpk )",Coastal,Balochistan,25.1594,62.1816,4
